summary,type,category
4 fun dives with maddie,NatureTravel,0
4 of us went in 3 with shirts missing a button,ShoppingTravel,1
4 suits some with waistcoats great value for money and its professionally individually tailored eddie is a very friendly guy,ShoppingTravel,1
5 13 the park is way to expensive for the number of rides and amount of fun it s offering they didn t allow us to bring our own water into the park while it was,NatureTravel,0
5 days at sea and we were not disappointed captain alex and tessie were so nice,NatureTravel,0
5 hrs the view is breathtaking small pools for a refreshing dip along the,NatureTravel,0
5 shirt,ShoppingTravel,1
5 shirts 3 formal and 2 casual and 2 ties i had three separate fittings to make sure everything was perfect i only had three days in phuket so was short for time but the guys done everything to ensure that,ShoppingTravel,1
5 shirts all of the best fabrics 22500 thb a large shop,ShoppingTravel,1
5 shirts and 2 skirts from rai and not a single item fit right rai is an amazing host but it came at the cost of badly fitting clothes i made the mistake of paying upfront,ShoppingTravel,1
5 snorkeling spots plus 4 beach photo stops it was an intense and awesome experience worth every penny best thing for me were the coral gardens the ecosystem looked healthy and thriving also plenty of fish the tour,NatureTravel,0
5 stops and amazing sea creatures one thing i want to point out,NatureTravel,0
50 euro for entrance women are not allowed to visit the main temple you can scan a q code outsider the temple,NatureTravel,0
500 800 bahts per meter can be found in this old yellow mall at the edge of chinatown all the varieties are on offer plain,ShoppingTravel,1
500 baht half day program and thoroughly enjoyed it elephants were well cared for an allowed to roam freely but were always under control with their trainers carers whom they appeared to always listen to plenty of time with the animals and,NatureTravel,0
6th trip to phuket have had many suits made by many tailors previously,ShoppingTravel,1
7 15pm we were rewarded by day and night view of phuket town pity we did not get a proper view of the sunset as,NatureTravel,0
7 and 8 in my sightseeing tour thai buddhist temple,NatureTravel,0
70 off road up a mountain circuit and a shorter but even more challenging jungle track the staff were helpful and looked after us well we had great fun and i would definately recommend it i think after rain it would be really challenging,NatureTravel,0
8 km from airport and 2 km from city centre with number of delicious food street nearby,ShoppingTravel,1
8 of us signed up for 9km rafting paid additional to upgrade from 5km to 9km and requested no elephant riding as elephants in the tourism industry and not looked after well at all we were told no problem we will custom tour for our,NatureTravel,0
85 of the shops are empty no food court looks like chernobyl in a tropical place typical business development gone bad only moderately looking place in this maze was on the fisherman main road where there is a charming french cafe in front of coco tams,ShoppingTravel,1
8pm and 9pm my friend and i walked through the night market and sat down for a latte at 7 45pm it was amazing to see the traffic was still strong when the music started,ShoppingTravel,1
90 mins outside chiang mai fully recommend this sanctuary over many other fake sanctuaries elephants are treated well and clearly have a good life cheinchai and team family at the sanctuary were great fun we fed,NatureTravel,0
a 15 minute elephant,NatureTravel,0
a 2 hour journey along the busy city of bangkok but it was so tranquil and beautiful the grand palace was beautifully lit as,ShoppingTravel,1
a 20 minute elephant ride which was fun and a 15 minute raft ride which was ok,NatureTravel,0
a beautiful and well organized weekend market full of crafts,ShoppingTravel,1
a beautiful beach and if you like people,NatureTravel,0
a beautiful beach and was clean before the party but sea lice ruined swimming experience here very crowded too,NatureTravel,0
a beautiful calm and serene island in the rayong province about 3 4 hrs from bangkok to rayong and thn a ferry to koh samed islands of 45mins we took a speed boat that took us to diff beaches of koh samed islands all in all a,NatureTravel,0
a beautiful park to the east of bangkok and costs a measly 10 baht entry it has a huge lake with boats available for hire at 40 baht and 40 baht deposit which is refundable highly recommended if you are in the city,NatureTravel,0
a beautiful place of worship a respite from the hustle and bustle of the city had looked forward to hearing the enormous hybrid pipe digital organ for the english service,ShoppingTravel,1
a beautiful small island located quite far from mainland it s really beautiful place to spend there it took 2 5 hours by speed boat to go there but worth it,NatureTravel,0
a beautiful temple in chiang mai the elephant statues were incredible and the temple so peaceful to walk and sit so peaceful,NatureTravel,0
a beautiful temple with interesting interiors and exteriors many monks live here and it was good to see some of them a very peaceful and spiritual feeling kinda place loved to know about a new culture and it is practices,NatureTravel,0
a beautiful white beach but take reef shoes if you have them as it s quite crunchy under foot also go early as the beach is less crowded and the water cleared lost of people in the water makes the water murky the trip on the,NatureTravel,0
a bit like the one hugo hefner had a shiny black floral suit and a chinese indian shirt in,ShoppingTravel,1
a bit quiet buddha temple for 2 minutes walking distance from side entrance,NatureTravel,0
a bridge overlooking the sea and this bridge is a legend of love at present,NatureTravel,0
a buzzing atmosphere and very safe,NatureTravel,0
a chance to blend in the sikh culture the sikh welcomes everbody from every walk of life we were expecting a basic temple when we first walked in,NatureTravel,0
a chinese temple located nearby phuket town it is best to visit at morning to enjoying sunrise exercise evening,NatureTravel,0
a coat,ShoppingTravel,1
a colorful ilands with variety of fish and coral good place for snorkeling and relaxing on the beach,NatureTravel,0
a couple minutes on the motorbike we found the secluded ao sane beach google maps was a great help again some beach chairs,NatureTravel,0
a couple of good quality t shirts,ShoppingTravel,1
a couple of hours before sunset 300 m high a great ambience and you can chill on the teired seating and chill and watch the world go by,NatureTravel,0
a decent beach that has moderate waves and sandy beach rather dirty not busy and easy to get to it would be good for a family and couples,NatureTravel,0
a delightful collection of a tiny commune s interpretation of art in a jungle garden setting it s not a museum people actually live there don t expect any kind of conventional organization just accept it for what it is it isn t easy to find but maybe thats a,NatureTravel,0
a delightful secondhand books store very close to the emporium shopping center and the bts phrom phong skytrain station i adored the multilevel building with wooden stairwell that houses this shop friendly staff very tidy,ShoppingTravel,1
a fancy blazer and two shirts tailor made in a couple of days,ShoppingTravel,1
a fantastic day loved seeing the markets and learning how to cook authentic thai food with get an james our chefs the school is set right on the beach and you also get the recipe cards of what you cooked to take home be,ShoppingTravel,1
a few weeks ago i wrote an angry 1star rating about this tailor you can see it below i now improved it to 3 stars as the owner finally replied to me,ShoppingTravel,1
a few years ago a huge market was built in ban phe totally disproportionate to the size of this relatively small seaside village in rayong province on a visit today,ShoppingTravel,1
a food court,ShoppingTravel,1
a friend and i walked into the distillery whilst waiting for our clothes in the nearby laundry and i can confirm it was the best and most relaxed few hours spent we were served by the joint owner cannot recall his name from france who,ShoppingTravel,1
a friend brought me here looking for some natural hair products and there was that and sooo much more i wandered around for a long time just browsing so many products to choose from from hair products,NatureTravel,0
a friend of mine and me went to a couple of tailors in bangkok and suit art was by far the best the service was very nice,ShoppingTravel,1
a friend of mine recommended we stop by new moda custom tailors when we were in chiang mai and we are so glad we did the experience from beginning to end was top notch they were extremely helpful and professional helping my husband and brother,ShoppingTravel,1
a friend recommended james fashion to tailor made clothes and from the beginning to the end it was an amasing experience in 2 days they prepare a wonderful dress for me and a perfect suite for my boyfriend mr su,ShoppingTravel,1
a friend recommended the store to me and i am so glad i went i really appreciate quality fabrics,ShoppingTravel,1
a full meal soft drinks and beer the water can be shallow in the dry season though warning the water is poluted by farm runoff and is part of natures toilet it is down,NatureTravel,0
a good place to visit along with the kids however the 4d movie was not good when compared with that of adjacent sea world,NatureTravel,0
a good reason to visit this part of town is bumrung buri market it opens late afternoon until late and offers all the thai food you are looking for to its opposite is a thai style fresh market i ate here in the evening,ShoppingTravel,1
a good sandy beach to go for a long relaxing walk,NatureTravel,0
a gourmet of phuket dried squid etc have many branches around the island of phuket they give discount to the driver of van,NatureTravel,0
a great big beach that was nt overcrowded the trees back the beach so plenty of natural shade no sunbeds,NatureTravel,0
a great day out with prowd as our tour guide and bobby as our driver they did a great job the mountain biking was great as a beginner to mountain biking the tracks were not too crazy,NatureTravel,0
a great family run tailor with good prices and quality i have known mr win for 10 years,ShoppingTravel,1
a great fish market,ShoppingTravel,1
a great little shop with some really good quality and  different  items rugs wall hangings wooden and brass items etc well worth a visit,ShoppingTravel,1
a great place for big cat lover a good place to understand the nature of this one specific big cat the management of tourist visit is so systematic and all staff are friendly and helpful,NatureTravel,0
a great place to get off the roads and get some exercise it is also near the beach so the location is scenic,NatureTravel,0
a great place to shop for organic and sustainable development conscious people a great selection or vegetables,ShoppingTravel,1
a great place to visit if you are in hat yai the view over the city is great the giant golden buddha statue is really good it is like you ve wandered into the land of giants you feel so small the cable car here is great,NatureTravel,0
a great relaxing place to stay beautiful beech with amazing sunsets lovely sand and very warm sea only accessible by boat gives it an exclusive feel,NatureTravel,0
a great return to this amazing historic city recommend visiting ayutthaya,ShoppingTravel,1
a great shopping area but needs more stalls to help fill it out of course it is filled with the local traders which constantly try to pressure you to come in and buy warning as with most of these stalls if you touch it,ShoppingTravel,1
a great small nice beach easy accessible with a motorbike really liked it and the food is simple but good,NatureTravel,0
a great snorkelling opportunity to see black tip reef sharks we went in the middle of the day as part of a private long tail boat tour the water was around 3 4 meters deep so not enough to stand up in and lots of other boats,NatureTravel,0
a group of six friends came to this tailor after a google search attempting to locate quality suits at a reasonable cost,ShoppingTravel,1
a group of us went on this tour on our first night in the city the tour takes you to some of the most important sites around the city,ShoppingTravel,1
a group of volunteers from soi dog foundation were looking for an inexpensive and fun snorkeling trip near nai yang beach we walked around the beach until we saw a sign for aqua one we stopped in to chat and immediately booked a trip for,NatureTravel,0
a guide will talk to you about the gibbons in their natural habit,NatureTravel,0
a harley davidson shop and couple of shops selling t shirts etc there are a couple of restaurants too not a shopping mall and definitely not worth the walk unless,ShoppingTravel,1
a healthty genuine intrepid interest in the shop was sadly ruined by a nasty thin wiry english man who made me feel unwelcomed after entering the shop he made me uneasy and later whist asking a few of the locals i was informed he has,ShoppingTravel,1
a highly professional team led by steve the thai boat crew were very attentive and made sure we were properly kitted up before each dive irrespective of our experience levels a very safe operation,NatureTravel,0
a historically significant point where the countries traded the drug opium the mekong river is a magnificent expanse of water of great significance,NatureTravel,0
a huge reclining buddha,NatureTravel,0
a huge reclining buddha makes for an excellent photo shoot the grounds are peaceful there is many visitors,NatureTravel,0
a huge shopping mall where more than what you need have cinema,ShoppingTravel,1
a large reclining buddha decorated with gold leaves is the main attraction and attracts many visitors large area to accommodate also impressive and well maintained other statues,NatureTravel,0
a leisurely and refined way to see bangkok s waterways great way to view evening activity on the river with a glass of champagne in hand,NatureTravel,0
a little nice shop in a small soi near mcdonald around the night bazar,ShoppingTravel,1
a little off the beaten path this is definitely a market for the locals there is a variety of vegetables and meat for sale and the usual sarongs and knock off items close by the food is authentic thai i usually try to find places,ShoppingTravel,1
a little out of the way with no mrt bts nearby so we took a cab,ShoppingTravel,1
a local hangout place groceries shopping in the market,ShoppingTravel,1
a local market with fresh food and produce including seafood and some great and exceptionally cheap food definitely worth the effort,ShoppingTravel,1
a long established high end department store that has gone though various upgrades over the years to make it still a long loved high end department store with good food by locals and foreigners they took over the old british embassy to build the connected central,ShoppingTravel,1
a long stretch of beach,NatureTravel,0
a long walk up to the peak of the hill need strong legs excellent views once there the usual lower shrines and shops,NatureTravel,0
a lot are mothers with their babies walking on the beach was like walking on a crowded footpath there were that many tourists there even though we were travelling in the off season,NatureTravel,0
a lot of birds but most of them from same family elephant show was very funny,NatureTravel,0
a lot of food and very near famous beautiful grand palace you can take a rest and have some drink or meal here at many store beside chaopraya river,ShoppingTravel,1
a lot of food like paradise price reasonable for one stop shopping i love it,ShoppingTravel,1
a lot of food stalls along the street the food looked tasty,ShoppingTravel,1
a lot of seafood stalls restaurant along the beach buy your seafood pay a fee to the restaurant to cook for you good selection of seafood but price at high edge not all the seafood are fresh,NatureTravel,0
a lot of store especially cosmetic and clothes not so crowded and huge area toilet is very cleanless,ShoppingTravel,1
a lovely beach of white sand,NatureTravel,0
a lovely non touristy hidden gem of a beach not easy to access unless you have own transport and hence not so crowded mostly people who are staying there,NatureTravel,0
a lovely park,NatureTravel,0
a lovely shop for anyone who loves paper or crafting good for gifts too the paper making course out in the chiang mai countryside is a wonderful experience and something i would love to do again nice people recommended,ShoppingTravel,1
a lovely shop to browse in the clothing was better quality than items in most night markets,ShoppingTravel,1
a lovely small beach we visited on a hot sunny day and it s a bit of a scramble to get down to the beach there s a drinks shack with reasonably priced beer and soft drinks nice stretch of sand with rocks at both ends,NatureTravel,0
a lovely tall statue of the diety in the tiger cave temple area a nice place to sit and contemplate for awhile,NatureTravel,0
a lovely temple in silver,NatureTravel,0
a magical and beautiful statue of a mermaid sitting on some rocks if you are on the beach then check this out i love it not to be missed,NatureTravel,0
a mall with the airport theme worth a visit while in bangkok or pattaya each floor is themed on a major world city and its attractions food court is super cheap lovely thai food as well,ShoppingTravel,1
a masterpiece of an untypical buddhist temple,NatureTravel,0
a modern man cave for an intense sleep in between international connections price is a bit pricey but worth it if you need to rest,NatureTravel,0
a moving account of the horrific building of the burma railway well organised informative we went visited the museum war graves on day 1 a trip up the river to see the famous bridge,NatureTravel,0
a must go if you are in bangkok they carry multi label brands like dover street market bring your credit card and tons of money if you lol,ShoppingTravel,1
a must go this shop makes a difference by mixing hardwood with silver gold it is still water shower proof my wife bought some pieces we recommend to go early as they might need a few days to make a ring in your size prices are very,ShoppingTravel,1
a must see in phuket beautiful view and craftsmanship i recommend going for sunrise if you get there before 6am you get to see all the monks getting in their vans before heading down into town for whatever they do in the morning,NatureTravel,0
a must visit destination if you come to hatyai the night market has a very nice and chill ambience with lots of shops where you can get anything from head to toes the highlight is the food court because its where you can get all,ShoppingTravel,1
a must visit temple whenever you are in bangkok the mesmerizing and stunting view of the ancient golden buddha is a golden opportunity not to be missed in a tranquil and peaceful ambient away from the hustle and bustle of city life,NatureTravel,0
a new mall right next to the siam bts station and close to other malls like centralworld and siam paragon mostly for young clientel several shops and restaurants,ShoppingTravel,1
a newer speedboat and a stop at bamboo island we only had a limited amount of time in,NatureTravel,0
a nice and slightly rough around the edges island hopping adventure we selected the trip with one snorkeling stop they put us on the trip with three stops instead without telling us during the trip we had lunch on an awesome beach and visited an incredible beach only accessible,NatureTravel,0
a nice atmosphere in the shop which i and my friends were also very happy with so,NatureTravel,0
a nice beach with good eateries for dinner can watch the tide bringing the sea right below the restaurants on the beach with soothing sound of the waves hitting the shore,NatureTravel,0
a nice example of orthodox church architecture had just been painted when i was there so the color s were quite vivid and beautiful could not go inside as it was locked but managed to walk around it all not much of a view of the coast,NatureTravel,0
a nice little strench of white sand beach family and majority of people will love it for its peaceful location and great thai family runing a nice little resort,NatureTravel,0
a nice mall to wander the afternoon away there are many food choices a nice variety of shops i had a macaron at dhara dhevi it was delish,ShoppingTravel,1
a nice palm tree and not too many people the beach is quite hidden and therefore calm,NatureTravel,0
a nice peaceful park whereby the locals come for their morning and evening exercises also an ideal place to enjoy your breakfast here park is surrounded with trees and flowers with 2 ponds in between you can even buy fish food at b10 to feed,NatureTravel,0
a nice place to sit and cool off we did not get to walk around the entire park,NatureTravel,0
a nice quiet clean beach only a short bus ride from the main hua hin hustle and bustle if you want to relax then this is the place to do it,NatureTravel,0
a nice remote waterfall,NatureTravel,0
a nice thai style night market hospitable to foreigners and not too frenetic plenty of food but near restaurants,ShoppingTravel,1
a nice theater situated on the 4th floor of esplanade shopping center this place to catch fully staged musical productions in bangkok nice place to visit and see the performance,ShoppingTravel,1
a night market that is easy to reach alot of food store but price are over charging do not eat eat there is a seafood buffet that offer fresh live prawn that you catch yourselves not too crowded,ShoppingTravel,1
a northern style street market,ShoppingTravel,1
a not for profit foundation store selling high quality hand crafted pieces that the creators have been paid a fair price for we visited this shop on our last visit to chiang mai,ShoppingTravel,1
a pagoda by the beach is not something you see often nice to visit once we saw locals offer prayers here,NatureTravel,0
a pair of pants and three shirts tailor made which turned out wonderfully i could nt be happier the owners and kind,ShoppingTravel,1
a park built at his request vajiravudh enjoyed most of his education in britain and inspired the thai people to build a,NatureTravel,0
a picturesque waterfall with a very easy and quite short walk to it the water is pretty cold to swim but worth it try to swim to the waterfall itself great feeling there is a gibbon rehabilitation center on the way to it you don t,NatureTravel,0
a place of peace and tranquility in the urban jungle that is bangkok it s possible to rent a bike and ride over dedicated cycle lanes also home of he,NatureTravel,0
a place to be in if you are a love waste sea small islands in the horizons i stayed a ko chang on an airbnb booked a 1 day trip to national park islands free pick n drop,NatureTravel,0
a place to calm your mind discover the joy of nature doctrines that can be practiced in everyday life father phutthabat is the greatest person of chaiya walking inward will see the wax of the buddha,NatureTravel,0
a place to learn ideal for walking to fish in the sea with a huge variety of amazing ideal for taking the kids to visit awareness instructions the children get to know animals more important,NatureTravel,0
a place where you can get very good quality shirts at a good price in a couple of days i took measurements,ShoppingTravel,1
a pleasant market not huge but enough to look around store sellers not too pushy and friendly when bargaining phad thai lady out the front of temple entrance was really good and popular with locals so must be good not much local fruits though,ShoppingTravel,1
a pleasure to shop at david jone fashion again fair prices and good very service provided by mr sam 2 time in 3 years,ShoppingTravel,1
a pretty laidbak place with food and retail stalls at prices that are definitely higher than your average street market stall definitely appealing to the hipsters because of its setup there is bar grub and beer too,ShoppingTravel,1
a proper night market in the street,ShoppingTravel,1
a quaint shrine in heart of city gives a serene feeling when visiting it a calm place next to prominent malls in the area,ShoppingTravel,1
a quick stop to take a few photos of this beautiful and well decorated chinese temple if you are in the area there is no need to drive there it is just another chinese temple or buddhist wat temple,NatureTravel,0
a quiet place to relax on a pristine beach and snorkel we spent a good few hours lazing around and the nearby bar is lovely,NatureTravel,0
a quite big beach in a secluded area of the island safe swimming area and lovely sand a couple of local layan thai restaurants are scattered along the trees we enjoy going to the beach from our pavilions resort in layan beach area,NatureTravel,0
a rafting trip some waterfalls,NatureTravel,0
a real highlight of any thai trip great to see the shift in approach to elephants in thailand and the recognition that eco tourism is a great way to support these domesticated elephants the keepers are lovely and clearly have a great relationship with the elephants,NatureTravel,0
a really awesome place for families the water is clean the park is divided into several areas,NatureTravel,0
a really lovely park suitable for everyone,NatureTravel,0
a really nice mix of markets,ShoppingTravel,1
a really nice place with happy elephants and friendly guides our kids had a really great time and so did we walking,NatureTravel,0
a really old church said to have been built four years before bangkok was founded it is advisable to arrive here hungry as there are plenty of street food available,ShoppingTravel,1
a reasonably easy short walk from the parking area where you are greeted with a small pleasant swimming hole full of fish at the base of a small waterfall water is not crystal clear due to the tannin from the trees but still a peaceful,NatureTravel,0
a recommended spot if you desire more than beautiful beach scenes and warm sea talk along a bottle of water,NatureTravel,0
a refreshing get away from the bangkok noise and traffic it is a very large park with a nice pond and places to ride your bike if you are in area come by,NatureTravel,0
a relatively clean market that has good stalls the combo noodles crab meat,ShoppingTravel,1
a relief after khao san in banglamphu and even silom,NatureTravel,0
a round 1 25 km from rawai along a level winding road is this hidden gem small west facing so very popular in the morning not much shade or seating area so it is a serious swimming a fishing beach great place to get away from the,NatureTravel,0
a royal garden that was converted into a public park attracting locals interested in activity there are two spots with fitness equipment free to use,NatureTravel,0
a scuba diving day trip to koh racha noi yai is amazing bas my dive leader has done a great job took a very good care about my diving safety,NatureTravel,0
a shirt was prepared overnight for a first fitting i left bangkok the other day and on my return from vacation,ShoppingTravel,1
a short boat ride across the river took us to the amazingly adorned temple this was a lot less crowded than the other temples that were visited be sure to ring the bell outside,NatureTravel,0
a short show performance and shopping zone we spent less than 30 min but paid 400b for an adult and 200b for a child there are less than 15 crocodiles most looks so scrawny and inactive total,ShoppingTravel,1
a simple eatery and a protected cove with gentle waves and clear waters await you its a simple small beach with outside,NatureTravel,0
a slightly high end shopping mall,ShoppingTravel,1
a small beach with only 2 resorts quiet and clean,NatureTravel,0
a small deserted island with beautiful sights for photo taking quiet and serene no one was swimiing on this island so we just took photo and left,NatureTravel,0
a small island around 3 hrs from bkk city and you have to take a ferry or speed boat to reach there its a nice small island with good beaches and the most famous is the coral island beach,NatureTravel,0
a small park center is has potential but is extremely badly kept,NatureTravel,0
a small park with buildings close to where the mother of king bhumibol was born and grew up at the time a modest neighborhood in thonbury and in a way it still is royals in 1910s europe could not marry the ones they loved without,NatureTravel,0
a small place some inexpensive shopping eg for silk scarves that cause no problems on the plane quiet back streets with wooden two storey houses lots of eating places along the beach front street a beautiful view of unspoiled beach and palms at the northern,ShoppingTravel,1
a small shop,ShoppingTravel,1
a small temple with a half buried buddha much less impressive than chalong,NatureTravel,0
a smaller shrine in the heart of rayong the shrine is easy to find though parking can be limited the statue and temple are well looked after a very nice place to visit,NatureTravel,0
a south indian at phi phi island,NatureTravel,0
a sports coat about 5 pairs of business pants slacks and a number of,ShoppingTravel,1
a sports jacket and a winter coat for my wife we stumbled into krishna collections as our first tailor visit,ShoppingTravel,1
a stop on this island was a part of our tour we came here for lunch the food was good however,NatureTravel,0
a student on the street,ShoppingTravel,1
a suit and some of other clothes they give good advice and are honest people 100 good fabric s and fair proces i recommend this tailor 10 out of 10,ShoppingTravel,1
a super long stretch of beech,NatureTravel,0
a template on top of a mountain and not a major tourist attraction it has toilet facilities and some refreshments,NatureTravel,0
a temple,NatureTravel,0
a temple of worship for sikhs,NatureTravel,0
a temple which has quiet surrounding and architect are unique i was there to a quick visit but it took an hour not because there is so much thing to see sitting at the corner and see people moving in the temple itself is fascinating,NatureTravel,0
a three piece suit and two button down long sleeved shirts,ShoppingTravel,1
a total professional with years of experience as a tailor at vinny s you receive amazing customer service choice of fabrics excellent with top of the range still being incredibly affordable this is not a place that you feel forced to buy time is taken,ShoppingTravel,1
a treat like no other beautiful seaside villas with just a 3 meter walk to the beach everything you could want from a beach holiday fantastic food at the local restaurant with access to two other hotels along the beach,NatureTravel,0
a trip to phi phi we absolutely will not forget we booked the tour through an agent near grand mercure patong where our travel agent bee sold us a 4 island tour for 2 costing 2500 baht the agent promised us that in case of bad weather,NatureTravel,0
a trip to the nama market is a must during your stay in phuket,ShoppingTravel,1
a truly amazing experience i had researched thoroughly the elephant sanctuaries within the local area before arriving in khao lak this one had by far the best reviews and offered exactly what we were looking for slightly further out than some of the others but,NatureTravel,0
a truly magical day with these gorgeous elephants that was better than i d imagined i d recommend this trip to anyone looking to connect with elephants in a place where they are loved cared for as they deserve the staff mahouts are so lovely,NatureTravel,0
a typical thai night market opens everyday from 6pm 11pm you will find many food stalls,ShoppingTravel,1
a varied night market with a relaxed atmosphere,ShoppingTravel,1
a vast range of materials to choose from and the price then was a mere aud 70 for a tailor made suit in any,ShoppingTravel,1
a very beautiful temple it was very quiet when we visited only,NatureTravel,0
a very beautiful temple well worth visiting however,NatureTravel,0
a very competent tailor who doesn s need touts outside,ShoppingTravel,1
a very extensive shop with hand painted ceramics in the thai tradition gorgeous pieces and staff are very helpful highly recommend they sell online so i am sure we will purchase more especially as they are so careful packaging and will replace broken items in,ShoppingTravel,1
a very flat night market nothing much to look at or buy food was expensive in my opinion overhyped by the internet and social media,ShoppingTravel,1
a very friendly and competent tailor we just arrived at our first day in chiang mai,ShoppingTravel,1
a very friendly place to hire scooters to explore the island was very accommodating and willing to accept alternate currency instead of thai baht since we did not want to be stuck with the bahts as we were leaving the country once we returned the scooter,NatureTravel,0
