summary,vocab,relation,category
loca vore is hidden gem,hidden gem,Locationreviews,0
locanda restaurant is hidden gem,hidden gem,Locationreviews,0
locanda restaurant is hidden gem,hidden gem,Locationreviews,0
locavore restaurant is great food and service,great food,foodreview,1
locavore restaurant is market place bar,place,Locationreviews,0
lock tien is great food and service,great food,foodreview,1
lock tien is market place bar,place,Locationreviews,0
loetje supreme 94 steak house is ok thai food,steak,foodreview,1
loetje supreme 94 steak house is terrible,steak,foodreview,1
loetje supreme 94 steak house is was concerned about rating,steak,foodreview,1
loetje supreme 94 steak house is yummy food,steak,foodreview,1
loft cafe bar restaurant is yummy food,yummy,foodreview,1
lok wah hin is best food in hua hin,best food,foodreview,1
lok wah hin is great food and service,great food,foodreview,1
lola by cocotte is beautiful river view,beautiful,Locationreviews,0
lola by cocotte is sick place,place,Locationreviews,0
lola by cocotte is the location and cousine is perfect,location,Locationreviews,0
lom lay seafood restaurant is good thai food near hotel,near,Locationreviews,0
loma restaurant is great food,great food,foodreview,1
london bar is fabulous food great atmosphere,great atmosphere,Locationreviews,0
london bar is good food,good food,foodreview,1
london bar is nice local food,nice local,Locationreviews,0
long table is good price for buffet,buffet,foodreview,1
long table is if you like semi naked fat sweaty chinese men this is the place for you,place,Locationreviews,0
long tian is great food casual atmosphere,great food,foodreview,1
longhorn steakhouse pattaya is an awesome restaurant which you must visit,steakhouse,foodreview,1
longhorn steakhouse pattaya is good old school thai restaurant,steakhouse,foodreview,1
longhorn steakhouse pattaya is outstanding meal,steakhouse,foodreview,1
longhorn steakhouse pattaya is tourist trap bad experience and bad restaurant do not go there,steakhouse,foodreview,1
longtail bar is good food but expensive,good food,foodreview,1
longtail bar is great food but portion could be bigger,great food,foodreview,1
longtail bar is spicy and delicious,delicious,foodreview,1
longtail bar is spicy delicious,delicious,foodreview,1
loong foong cantonese restaurant is excellent food and service,excellent food,foodreview,1
loong foong cantonese restaurant is great food in between thai and american price range,great food,foodreview,1
lord jim s is delicious mushroom,delicious,foodreview,1
lord jim s is thai and italian food,italian food,foodreview,1
los amigos cantina is vegeterian food next to ekkamai station,next to,Locationreviews,0
los amigos cantina is wonderful subtle flavours,wonderful,Locationreviews,0
lost cafe is great vegetarian in mbk centre,vegetarian,foodreview,1
lost cafe is pomello salad fried rice so good,salad,foodreview,1
lost cafe is vegetarian at sukhumvit,vegetarian,foodreview,1
lost cafe is vegetarian food in bangkok,vegetarian,foodreview,1
lotus restaurant is best noodle soup,noodle soup,foodreview,1
louis  kitchen is english breakfast,breakfast,foodreview,1
louis  kitchen is perfectly and delicious,delicious,foodreview,1
louis koffee patong is best noodle soup,noodle soup,foodreview,1
love eat bistro central embassy is back here again good stuff,eat,foodreview,1
love eat bistro central embassy is good pad thai in rayong,eat,foodreview,1
love eat bistro central embassy is great pad thai place in rayong,eat,foodreview,1
love eat bistro central embassy is so good we visited twice,eat,foodreview,1
love rain is khun kung kitchen restaurant at navy club area on the chao praya river a gem,gem,Locationreviews,0
love scene is convenient spot near the markets,near,Locationreviews,0
love scene is good food good service reasonable price,good food,foodreview,1
luca cini a wine story is convenient spot near the markets,near,Locationreviews,0
luca cini a wine story is good food good service reasonable price,good food,foodreview,1
lucky 13 sandwich karon is great place to eat,great place,Locationreviews,0
lucky 13 sandwich kathu is good local in surin,good local,Locationreviews,0
lucky 13 sandwich kathu is most delicious food,delicious,foodreview,1
lucky 13 sandwich kathu is wonderful service,wonderful,Locationreviews,0
lucky 13 sandwich nai harn is great tourist experience but not a local experience,local,Locationreviews,0
lucky 13 sandwich patong is good vegetarian restaurant,vegetarian,foodreview,1
lucky seafood thaifood european is delicious,delicious,foodreview,1
lucky seafood thaifood european is dinner,dinner,foodreview,1
lucky too is delicious,delicious,foodreview,1
lucky too is dinner,dinner,foodreview,1
luka is good indian food,indian food,foodreview,1
luka is great location for shopping,location,Locationreviews,0
lung ja is delicious shark s fin,delicious,foodreview,1
lung ja is our go to place when we visit bangkok,place,Locationreviews,0
lung nan noodle is nice setting good food,noodle,foodreview,1
lung nan noodle is pleasant experience,noodle,foodreview,1
lung nan noodle is soft shell crabs,noodle,foodreview,1
lung nan noodle is thai food but foreigner taste,noodle,foodreview,1
lung sawai seafood is amazing japan restaurant close to assok,close to,Locationreviews,0
lung yai restaurant is fabulous place,place,Locationreviews,0
lung yai restaurant is great scottish place cold beer and good food,place,Locationreviews,0
lux beach phuket is one of the best meals in bangkok,meals,foodreview,1
lynn s famous spring rolls is an average place,spring rolls,foodreview,1
lynn s famous spring rolls is big servings,spring rolls,foodreview,1
lynn s famous spring rolls is great food and shakes,spring rolls,foodreview,1
lynn s famous spring rolls is my favorite place in hua hin,spring rolls,foodreview,1
m g s restaurant is late dinner,dinner,foodreview,1
m g s restaurant is nice food good place,nice food,foodreview,1
m s   inn restaurant is late dinner,dinner,foodreview,1
m s   inn restaurant is nice food good place,nice food,foodreview,1
m sports bar and restaurant is good food but too many of flies and mosquitoes,good food,foodreview,1
m sports bar and restaurant is late dinner,dinner,foodreview,1
m sports bar and restaurant is nice lunch and staff,lunch,foodreview,1
m sports bar and restaurant is yummy thai,yummy,foodreview,1
ma kham is finally a good asian bbq restaurant with quality products,bbq,foodreview,1
ma ma dang restaurant is delicious,delicious,foodreview,1
ma ma dang restaurant is great food great people,great food,foodreview,1
ma ma dang restaurant is this place deserves a visit,place,Locationreviews,0
ma ma nang restaurant is buffet restaurant on a rainy day,buffet,foodreview,1
ma ma s greeting restaurant is buffet restaurant on a rainy day,buffet,foodreview,1
ma maison is hidden gem,hidden gem,Locationreviews,0
macarona european cuisine pizzeria is deliciouss food,cuisine,foodreview,1
macarona european cuisine pizzeria is food bland staff rude,cuisine,foodreview,1
macarona european cuisine pizzeria is nice food,cuisine,foodreview,1
macarona european cuisine pizzeria is vegetarian food,cuisine,foodreview,1
madagascar bar reggae bar is great thai restaurants with some special dishes that you cannot find in other places,dishes,foodreview,1
madagascar bar reggae bar is okay for a simple meal in an air conditioned place,place,Locationreviews,0
madam suzy is best dishes,dishes,foodreview,1
madam suzy is dinner,dinner,foodreview,1
madam suzy is favourite cafe in phuket town,town,Locationreviews,0
madam suzy is tasty healthy ish not too hipster,tasty,foodreview,1
madam t is good food good staff,good food,foodreview,1
madam t is great food good staff,great food,foodreview,1
madam thai food is american breakfast amazing value,breakfast,foodreview,1
madam thai food is quick service and tasty food,tasty,foodreview,1
madame green jay khiew is trying their best to offer tasty food at very competative prices,tasty,foodreview,1
madame musur bar restaurant is great food and service,great food,foodreview,1
madame musur samsen 2 is great food and service,great food,foodreview,1
madame saab ver is delicious sushi at a reasonable price,delicious,foodreview,1
madison is excedllent value excellent food and very good service,excellent food,foodreview,1
madison is excellent food at a great location,excellent food,foodreview,1
madong is delicious burger,delicious,foodreview,1
madras darbar is the best noodle soup in phuket,noodle soup,foodreview,1
madras darbar is yummy,yummy,foodreview,1
madrid pizzeria and bar is excellent authentic thai food,pizzeria,foodreview,1
madrid pizzeria and bar is great gem hidden from falangs,pizzeria,foodreview,1
madrid pizzeria and bar is klang khao in hua hin,pizzeria,foodreview,1
madrid pizzeria and bar is locals love it,pizzeria,foodreview,1
mae porn seafood is delightful and delicious,delicious,foodreview,1
mae sri reun is dining in the stream beautiful,beautiful,Locationreviews,0
mae sri ruen bluport hua hin resort mall is best sliders in town,town,Locationreviews,0
mae sri ruen noodle krua mae sri ruen is amazing food,noodle,foodreview,1
mae sri ruen noodle krua mae sri ruen is awesome definitely coming again,noodle,foodreview,1
mae sri ruen noodle krua mae sri ruen is good food,noodle,foodreview,1
mae sri ruen noodles krua mae sri ruen is popular place,place,Locationreviews,0
mae sri ruen thaifoods is great location,location,Locationreviews,0
maesriruen authentic thai cuisine is best chicken rice,thai cuisine,foodreview,1
maesriruen authentic thai cuisine is delicious and reasonably priced,thai cuisine,foodreview,1
maesriruen authentic thai cuisine is great chicken rice in phuket town,thai cuisine,foodreview,1
maesriruen authentic thai cuisine is not good like my expectations,thai cuisine,foodreview,1
maggie mario s pizzeria is eating with the locals,pizzeria,foodreview,1
maggie mario s pizzeria is get filled up easily,pizzeria,foodreview,1
maggie mario s pizzeria is local food,pizzeria,foodreview,1
maggie mario s pizzeria is really worth it for the price,pizzeria,foodreview,1
maggs restaurant pattaya is fantastic korean food with exceptional service,korean food,foodreview,1
magic masala indian restaurant is my favourite place in bangkok,place,Locationreviews,0
maguro sushi bangna is good for lunch,lunch,foodreview,1
maguro sushi bangna is lunch with mixed results,lunch,foodreview,1
mahanaga is authentic and delicious,delicious,foodreview,1
mahanaga is great find little gem,gem,Locationreviews,0
mahanaga is great food,great food,foodreview,1
maharaja is dinner,dinner,foodreview,1
maharaja is great place,great place,Locationreviews,0
maharaja restaurant is delicious authentic food,delicious,foodreview,1
maharaja restaurant is nice korean restaurant in phuket town,town,Locationreviews,0
maharani is great place to have lunch,great place,Locationreviews,0
maharani is local atmosphere good food and pleasant service,local,Locationreviews,0
maharani is lunch stop,lunch,foodreview,1
mahasamutr restaurant and bar is great place to have lunch,great place,Locationreviews,0
mahasamutr restaurant and bar is local atmosphere good food and pleasant service,local,Locationreviews,0
mahasamutr restaurant and bar is lunch stop,lunch,foodreview,1
mai khao seafoods local restaurant is 40th wedding anniversary meal,local,Locationreviews,0
mai khao seafoods local restaurant is 8 10 a good place to east when you stay at six senses or cape kudu,local,Locationreviews,0
mai khao seafoods local restaurant is expectations exceeded,local,Locationreviews,0
mai khao seafoods local restaurant is love this place,local,Locationreviews,0
mai khao sun set is 8 10 a good place to east when you stay at six senses or cape kudu,place to,Locationreviews,0
mai khao sun set is love this place,love this place,Locationreviews,0
mai khao wheel bar seafood is delicious seafood,delicious,foodreview,1
mai khao wheel bar seafood is excellent lunch,lunch,foodreview,1
mai khao wheel bar seafood is fresh food,fresh food,foodreview,1
mai khao wheel bar seafoods is good local,good local,Locationreviews,0
mai tai is delicious seafood,delicious,foodreview,1
mai tai is eat like a local,eat,foodreview,1
mai tai is excellent lunch,lunch,foodreview,1
mai tai is fresh food,fresh food,foodreview,1
mai thai cuisine is indian restaurant in thailand,thai cuisine,foodreview,1
mai thai cuisine is looks can be deceiving,thai cuisine,foodreview,1
mai thai cuisine is normal food,thai cuisine,foodreview,1
mai thai cuisine is over prices and worst food,thai cuisine,foodreview,1
maillard butcher steak is a gem on the side of the busy road,steak,foodreview,1
maillard butcher steak is amazing,steak,foodreview,1
maillard butcher steak is the best thai dinner on my life,steak,foodreview,1
maillard butcher steak is the best thai in karon kata,steak,foodreview,1
maisen branch central embasy is dinner and a drink,dinner,foodreview,1
maisen branch central embasy is great place,great place,Locationreviews,0
maisen branch central embasy is tasty healthy options great coffee,tasty,foodreview,1
maison bleu restaurant is dinner on terrace,dinner,foodreview,1
maison bleu restaurant is excellent dinner,dinner,foodreview,1
maison bleu restaurant is excellent food and ambience,excellent food,foodreview,1
maison bleu restaurant is great food excellent service,great food,foodreview,1
maison de la truffe is awesome breakfast,breakfast,foodreview,1
maison de la truffe is good food,good food,foodreview,1
makan makan is quite good lunch,lunch,foodreview,1
makanan islam cafe is quite good lunch,lunch,foodreview,1
mala dim sum is disappointed,dim sum,foodreview,1
mala dim sum is found by surprised,dim sum,foodreview,1
mala dim sum is good teste but too quiet,dim sum,foodreview,1
mala dim sum is pricey for what you get,dim sum,foodreview,1
malai restaurant is almost a local,local,Locationreviews,0
malati restaurant is cheap and tasty,tasty,foodreview,1
malati restaurant is good value for money freshly cooked thai cuisine,thai cuisine,foodreview,1
malati restaurant is great food,great food,foodreview,1
maleevan is really delicious korean food in bangkok,delicious,foodreview,1
mali chic restaurant is great italian food,italian food,foodreview,1
mali chic restaurant is lovely place for the family,place,Locationreviews,0
mali chic restaurant is we loved it great food and amazing hospitality,great food,foodreview,1
mali restaurant is seafoods place,place,Locationreviews,0
malila restaurant is nice traditional thai cafe with a tint of chinese touch taste,taste,foodreview,1
malila restaurant is taste with tranquility,taste,foodreview,1
malila restaurant is vegetarian heaven and soooo delicious great value,vegetarian,foodreview,1
mallard is one of my favorite places to eat,eat,foodreview,1
mam s restaurant is one of my favorite places to eat,eat,foodreview,1
mama cindy is great food and great service,great food,foodreview,1
mama cindy is great food great music,great food,foodreview,1
mama indigo restaurant kata beach is busy,kata beach,Locationreviews,0
mama indigo restaurant kata beach is delicious,kata beach,Locationreviews,0
mama indigo restaurant kata beach is go local,kata beach,Locationreviews,0
mama indigo restaurant kata beach is they are on a busy corner at one end of market and very visible,kata beach,Locationreviews,0
mama jin restaurant is delicious and extensive menu,delicious,foodreview,1
mama jin restaurant is great location,location,Locationreviews,0
mama mr lek restaurant is salmon salmon and salmon,salmon,foodreview,1
mama mr lek restaurant is the best salmon series ever,salmon,foodreview,1
mama noi is is delicious local thai food,delicious,foodreview,1
mama noi is is good taste and reasonable,taste,foodreview,1
mama restaurant karon beach is fun fun fun,karon beach,Locationreviews,0
mama restaurant karon beach is great fun the chickens are still flying,karon beach,Locationreviews,0
mama restaurant karon beach is mediocre chicken,karon beach,Locationreviews,0
mama restaurant karon beach is what an experience,karon beach,Locationreviews,0
mama restaurant kata beach is delicious food and cozy atmosphere,kata beach,Locationreviews,0
mama restaurant kata beach is hidden gem,kata beach,Locationreviews,0
mama restaurant kata beach is lovely garden and good vibes,kata beach,Locationreviews,0
mama restaurant kata beach is they ran out of rice,kata beach,Locationreviews,0
mama s cafe is coldest beer in town,beer,foodreview,1
mama s cafe is fun and easy going place to chill,place to,Locationreviews,0
mama s restaurant is great food,great food,foodreview,1
mama s restaurant is lunch,lunch,foodreview,1
mama seafood is delicious food and cozy atmosphere,delicious,foodreview,1
mama seafood is hidden gem,hidden gem,Locationreviews,0
mamasita mexican is great food,great food,foodreview,1
mamasita mexican is lunch,lunch,foodreview,1
mame homemade cake is surprisingly bad taste not fresh,taste,foodreview,1
mame homemadecake is best place in koh lanta,place,Locationreviews,0
mame homemadecake is favorite place at koh lanta,favorite place,Locationreviews,0
mame homemadecake is the hidden gem of lanta thailand,hidden gem,Locationreviews,0
mamma mia cucina italiana pizza is 5 stars friendly neighbourhood steakhouse,steakhouse,foodreview,1
mamma mia cucina italiana pizza is extraordinary taste with affordable price,taste,foodreview,1
mamma mia grill restaurant bangtao is best food we had in thailand,best food,foodreview,1
mamma mia grill restaurant kamala is great food great price great service,great food,foodreview,1
mamma mia grill restaurant kamala is tasty,tasty,foodreview,1
mamma mia grill restaurant kamala is very smiley service very tasty food,tasty,foodreview,1
mamma mia grill restaurant patong is best food we had in thailand,best food,foodreview,1
mamory delicious for good memories is great food great price great service,delicious,foodreview,1
mamory delicious for good memories is tasty,delicious,foodreview,1
mamory delicious for good memories is the best in the area,delicious,foodreview,1
mamory delicious for good memories is very smiley service very tasty food,delicious,foodreview,1
man fu yuan kitchen is skip the famous aunty try this place,place,Locationreviews,0
man ho chinese restaurant at the jw marriott hotel bangkok is skip the famous aunty try this place,place,Locationreviews,0
manathai khao lak is busy gem full of locals,busy,Locationreviews,0
manathai khao lak is delicious food reasonable prices,delicious,foodreview,1
manathai khao lak is holy crab that s good,crab,foodreview,1
mandarin roast duck restaurant is busy gem full of locals,busy,Locationreviews,0
mandarin roast duck restaurant is delicious food reasonable prices,delicious,foodreview,1
mandarin roast duck restaurant is holy crab that s good,crab,foodreview,1
mando restaurant steakhouse is genuine excellent thai food and cheap,steakhouse,foodreview,1
mando restaurant steakhouse is hidden gem,steakhouse,foodreview,1
mando restaurant steakhouse is krua aroi very good thai food at reasonable price,steakhouse,foodreview,1
